ASSIGNED TO,DATE ASSIGNED,EXPECTED COMPLETION,Section,ISSUE DESCRIPTION,PRIORITY,CONTACT,ASSIGNMENT,DATE RECORDED,CAD Assigned to,Actions Taken,On Hold?,STATUS,COMPLETE
Diana,,,2,Define the strategy moving forward related to 45' minimum height on new poles,,,,,,,,,
Diana,,,2,Define the preferred location of use for cedar poles,,,,,,,,,
Diana,,,2,Light bog shoes are inactive in the system and there are jobs where detail 288 is speced out.  Detail 287 gets different materials and there are EF and G as options for the planner. Specs have only 287   see 1-2-49,,,,,,Justin Filzek clarified why Detail 287 has 3 options in CU  EF and G. It is due to the size of the bold,,,
Vader,,,10,1-10-62 and 1-10-61 modify the details to support the Seeco APTS project,,,,,,,,,
Sid,,,2,Pole top Extension Details in Section 2. ,,,,,,,,,
Sid,,,10,1-10 -21 Sectionalizing Disconnects Refer to Detail 1-3-7 for double FRP arms.,,,,,,,,,
Sid,,,16,Revise 1-16-48 and 49 to show proper connections and install 600amp disconnect on the single phase regulator,,,,,,,,,
Steve,,,7,Update specs for H-tap - Steve Compton,,,,,,,,,
Diana,11/15/2016,11/29/2016,16,"Bracket question:On a memo issued on April 25 2003 it states that the V mount stock 240-0417 can be used to mount two 250 KVA regulators weighting 2835 pounds each on a class one pole my question is can we mount two 333 KVA regulators weighting 3325 pounds each on a 45' class one pole using this V mount? The V mount 240-0417 has shown on 1-24-17.3 states that it can hold 5000 pounds per position.",1,Hoye Ray,Can V Bracket be used to mount (2) 333kVA Regulators?,11/16/2016,N/A,No Since the  manufacturer does not provid the 333kVA regulators with bracket provision,,LATE,
,,,6,3 wire multiplex rack we on page 1-7-21.1 (need further clarification),,,,,,,,,
Sid,,,27,Antenna specs. For Section 27 -2 specs. ,,,,,,,,,
Sid,,,27,Update Specifications in the OH manual for the antenas (section 27) to remove notes regarding Joint Users. To follow up with JU to clarify scope.,,,,5/17/2016,,,,,
Vader,,,9,Secondary cabinet specifications- vendor sends in two different type of boxes. SME needs to evaluate and make a decision which one is/ should be approved. UG 1-9-215,,Michael Dewandeler,,5/18/2016,,,,,
Sid,,,27,New xIG pole design added to the OH line spec book,,Phil St John,,5/18/2016,,,,,
Sid,,,16,Spec 16-49 shows the regulators having a bypass switch on the reg pole and sectionalizing switch on the source side on a separate pole. Which seems like the better design. Spec 16-52 16-53 doesn't shows the regulator having a bypass switch and doesn't have a note about having a sectionalizing switch on the source side on a separate pole. This was brought up because of a 1ph 4.8kV reg that I'm having installed on a circuit where we wanted the bypass and source switch.,,Justin Gillon,,,,,,,
Steve,,,20,1-20-31 and 1-20-22.4 modify specs to show how clearances and FRP arm. - Steve compton,,,,,,,,,
Vader,7/2/2016,8/1/2016,10,Omni-rupter deadending on the switch contact manufacturer also clearences for the down guy. Create Detail to allow planners to order Detail 1066E on Page 1-10-66.3 at cable pole location.,3,Chris Fuller,,,,Reassigned to Sid on 10-31-16,,LATE,
Diana,,,18,Ruling Span example located in Section 18 Maintenace - M1-18-3 to be reflected in active Section 18: 1-18 3,,Mike Toor,Schedule meeting with OEP team,,,,,,
Sid,,,25,3 primary on crossarm with the neutral on the arm is this possible. We will involve OCOE,,,,,,,,,
Nelu,12/5/2016,1/19/2017,10,Clarify when to use which Smart Fault Indicator for what application. Update specs. EB,4,,,,,,,ON TIME,
Diana,,,2,Pole Class for regulators email form Mark Koski,,,,,,,,,
Sid,,,19,Flat Subtransimission Detail with the FRP arm partial deadend 1-19-45 to 48 1945B - Don Deachin,,,,,,,,,
,,,,change note on page 1-24-10.1 porcelain ,,,,,,,,,
,,,,Create item master number to order  hardware for the double conductor circuit to be used on a substation job that will start Sept. 2016,,,,,,,,,
Steve,,,8,"Clarify Connection to the pole ground.Specs affected: 1-8-08; 1-15-19; 1-24-9.10CU-Cu connection split bolt - Steve compton",,Julie Gottardi,,,,,,,
Vader,,,10,Omniruptor on a T corner location,,Duane Will,,,,,,,
Diana,,,6,"Secondary Rack Insulators:1. 100301730: This new item master number 100319274 replaces the old part number 100301730 due to the fact that DTE has to change the unit of measurement from PAC to EA. 100301730 is retired 2. 100302681: This part is retired and replaced by due to the same issue  unit of measurement from PAC to EA",,Steve Lehman,,,,,,,
Vader,,,6 24,"Secondary Rack Insulators: Update Spec book  (1-6-12 and 1-24-6) to reflect the change in the part number: 1.  From (old) 10030173 to (new) item master number 100319274 2. From (old) 100302681 to (new) item master number  ",,,,,,,,,
Sid,,,,Update spec. page 1-16-52 to install by-pass switches on the detail.,,,,,,,,,
Najwa,,,,how will you terminate EPR cable on Detail page 1-20 33 bring back Detail 1-20-  Najwa,,,,,,,,,
Sid,,,,Create spec. in Section 20 that shows banding equipment to the pole.,,Tom Rowe,,,,,,,
Vader,,,,Look into 1-10-26 and question about disconnects switches one pole away.,,Jim Hammond,,,,,,,
Vader,6/30/2016,7/30/2016,10,Omni-rupter with the Deadend issue with guying how can this be done on a cable station  Detail 2023.1,3,Mike Toor,,,,Reassigned to Sid on 10-31-16,,LATE,
Sid,,,1,Contractor not getting updates to the Details. Need to talk with Kevin Tom from Logistics,,Mike Toor,,,,,,,
Vader,,,10,Not able to mount the omini-rupter on the steel pole. Need to get the TDC OCHOE involved,,Mike Toor,,,,,,,
Sid,,,,Can we mount a service on a steel pole. Can this occur and should we have a spec. ,,Mike Toor,,,,,,,
Sid,8/4/2016,9/18/2016,7,"Detail 1-7-16.1  insulator comes in packs and the 3/4"" Bolt issue - Tim Dragos",4,,,,,,,LATE,
Diana,11/21/2016,12/12/2016,Book 3,4/0 triplex update pages for regulation and ampacity ratings and mechanical constaints Book 3,2,,,,,,,LATE,
Vader,,,,Training for Omni-rupter on two different circuits on pole.,,,,,,,,,
Vader,,,20,Cable pole location with omni-rupter to two tangent circuits on pole flat construction tap the top circuit. Create spec. Or ED drawing,,Tom Rowe,,,,,,,
Vader,,,,Cable pole terminations on triangle double circuits using the Omni-rupter I.E Cortland project,,,,,,,,,
Vader,,,,Throw over circuit with cable pole and 600a disconnect switch I.E cortland,,,,,,,,,
Nelu,12/5/2016,1/19/2017,,Create Spec. to install Tollgrade indicators in the field,4,,,,,,,ON TIME,
Sid,,,,Engineering Bulletin on drilling deadend 4 & 10 FRP arms,,,,,,,,,
Sid,,,,Engineering bulletin on how to attach hardware to steel poles,,,,,,,,,
Diana,,,,Book 3 - revision with DCOE ,,,,,,,,,
Diana,,,,Pole Inspection policy,,,,,,,,,
Steve,,,,Recloser spec. with Tropos antenna for triple single for CU - Steve Compton,,,,,,,,,
Steve,,,,Alley arm recloser bracket in section 24 - Steve Compton,,,,,,,,,
Steve,,,,Ground rod installation specs. - Steve Compton,,,,,,,,,
Steve,,,,Oil Sectionalizer replacement - Steve Compton,,,,,,,,,
Steve,,,,Electronic Sectionalizers not in stock get with buyer - Steve Compton,,,,,,,,,
Steve,,,,Engineering bulletin for H-Taps  - Steve Compton,,,,,,,,,
Sid,,,,Weatherhead on the cable standoff ,,,,,,,,,
Diana,,,,4/0 triplex update pages for regulation and ampacity ratings and mechanical constaints,2,,,,,,,,
Sid,,,25,Double circuit with Omni-rupter approval and create drawing in Section 11  We will discuss on Monday 9/12/16,,,,,,,,,
Sid,,,,40kV const. with underbuilt similar to Detail 1335. We will discuss on Monday 9/12/16,,,,,,,,,
Vader,,,,SIM page 3-2-16 Customer contractor notes item number 3 ,,Chris Fuller,,,,,,,
Diana,,,,Multiplex conductors with reduce neutral Scallop and roll out Periwinkle,,,,,,,,,
Diana,,,,Multiplex conductors with reduce neutral Janthina,,,,,,,,,
,,,,"OEP need to examine what should be the preferred replacement for an old Duplex pad mount if this A-B arrangement Detail 17273 is not acceptable?The job was changed to use (1) 300 KVA 240V transformer in place of the A-B construction. The first splicing crew on  the job made several valid points why we should use one three phase transformer instead of the A-B transformer detail. After hearing the splicer’s reasons I was the person who authorized the change in the field. The construction was completed on Tuesday August 30 when the crew responded to a trouble job at the same address that was caused by our service failing under a driveway.",,Mark Koski,,,,,,,
,,,SIM 3,References to NEC tables in SIM manual need to be updated. 3-3-1 3-3-2 3-3-3 3-14-18,,,,,,,,,
,,,,Have a double FRP arm Detail for double circuits ,,Mike Toor,,,,,,,
,,,,Take a look at a universal clamp top insulator for 40kV,,Tom Rowe,,,,,,,
,,,,1-10-12.2 and 1-10-12.3 needs to be reviewed to show single FRP arm in place of two,,Mike Toor,,,,,,,
,,,,Review details concerning triple single reclosers. Involves 4 to 5 pages,,Chris Fuller,,,,,,,
Nelu,,,SIM 3,We recently became aware that PCMs purchased from Corby directly will come with a steel riser.  PCMs purchased from B&B Manufacturing will come with a PVC riser.  So the Corby PCMs will force us to require that  the customers electrician/contractor will have to provide at least the sweep and an adaptor to go from steel to PVC when DTE is to dig the trench and install conduit in the rest of the trench.    Take note that Kaltz is prepared to cut steel piping or provide the adaptors but Corby is since they provided the riser in the first place creating confusion for electricians and contractors working in our area.  3-4-1,,George G,,,,,,,
Vader,11/15/2016,12/6/2016,,Detail 1760 B-needs to be updated,2,Deachin,Correct spec,11/16/2016,,Corrected spec,,LATE,
,,,,Work on process to define when materials should be substitued anand specs. Placed in maintenance,,,,,,,,,
Sid,,,,MI - guy attachments are to for the grounds attachments. Fiberglass attachments are used everywhere else. 1-24-14.1 Issue Engineering bulletin,,,,,,,,,
,,,,"Using 350 cable in 200amp meter cans 3-350 cable will fit in 2-1/2"" conduit per NEC",,,,,,,,,
Nelu,,,,Get actual cost on a cable stand off bracket job - compare with estimates.,,,,,,,,,
Nelu,,,,Get actual cost on an UG service- compare with estimates.,,,,,,,,,
Nelu,12/1/2016,1/15/2017,,Complete Bill of materials for 1-10-62 for new APTS mechanism and control,4,,,,,,,ON TIME,
Sid,,,,Section 25 triangle construction double circuit underbuilt details need to be developed (DCOE meeting November).,,,,,,,,,
Steve,,,,Hubbell Dead end shoe for Stephens project - approve as alternate (part number ADEZ-116N),,,,,,,,,
Diana,,,,Update notes and tables in Section 12 referring to Grade B and C Construction,,,Page 1-12-2 to update the tables for the Grade B and Grade C,,,,,,
Sid,,,,Deadend at the bottom from 1-19-9 that could be used on 1-20-7,,,,,,,,,
Sid,,,,Section 19 update to FRP crossarms from wood arms,,,,,,,,,
,,,,Section 19 t-conrner for flat construction,,,,,,,,,
,,,,Section 19 Shieldwire for flat construction ,,,,,,,,,
Sid,,,,3 phase deadend that converted to single phase pulling off for Section 25 Details it was in the older revisions,1,,,,,,,,
Nelu,,,,Define the use of Hendrix construction SW Region,,,,,,,,,
Steve,,,,Place tag on detail drawing for the  trip saver in 1-10-10 and 1-10-11,,,,,,,,,
Sid,12/1/2016,12/31/2016,14,MI guy attachments and grounded guy issues need to be addressed and ground guy on sheildwire. ,3,Steve Lehman,,,,,,LATE,
,,,,Section 19 and Section 27 40kV details what needs to be done for maintenance (Armless vs 1938 details section 19),,,,,,,,,
Diana,11/21/2016,1/5/2017,17,Type of Pole to use for Transformers and regulators  and type of wieghts for transformers need to be updated on page 1-17-7 1-2-11.1 1-2-11 12,4,Tom Rowe Jim Hammond,,,,,,LATE,
Diana,11/11/2016,11/25/2016,,IBM-IFE: 2016 Wood Pole Inspection Program.,1,Gersh Nolan,"Fields in the STRUCTURE_INSPECTION table in ESRI: PERECENT_POLE_STRENGTH 1. If PERCENTPOLESTRENGTH is between 1-50 OR POLESTATUSCODE = ""CONDEMNED"" or RUSHCONDEMED"" then POLE_STATUS = CONDEMNED 2. If PERCENTPOLESTRENGTH is between 51-75 OR POLESTATUSCODE = ""CANDIDATE FOR REINFORCE"" then POLE_STATUS = REINFORCED 3. If PERCENTPOLESTRENGTH is between 76-100 OR POLESTATUSCODE = ""KEEP IN SERVICE"" or then POLE_STATUS = GOOD 2. POLE_STATUS_CODE: CONDEMNED REINFORCED GOOD 3. REINFORCED_YEAR If reinforced > 20 years POLE_STATUS = CONDEMNED If reinforced <20 years POLE_STATUS = INSPECT",,,,,LATE,
Diana,11/21/2016,1/5/2017,3,Investigate the use of Composite poles for a self sustained structure in NW: Greg Payton- planner,4,,,,,,,LATE,
,,,,Communication on DDO superceding Banked secondary,,,,,,,,LATE,
,,,,Make change to 1-20-23 in UG spec book note 11,,,,,,,,,
,,,,Tree wire to be used with clamptop insulators ,,,,,,,,#REF!,
Steve,,,,Animal Protection for equipment,,,,,,,,,
Diana,,,,Item master for Tropos,,,,,,,,,
Nelu,12/1/2016,1/15/2017,,Section 24 detail for the fiberglass cutout bracket,4,,,,,,,LATE,
Nelu,12/15/2016,1/29/2017,,Define the strategy and scope of work for substation wood poles inspections,4,,,,,,,ON TIME,
,,,,,,,,,,,,ON TIME,
